BSSID,Latitude,Longitude,Security
00147F9D3B48,55.846673,-4.531007,WEP
00146C6ED29C,55.845714,-4.530604,WEP
001B9E68D38E,55.845714,-4.530604,None
00147F9CD008,55.845714,-4.530604,WEP
00146CAB236A,55.845714,-4.530604,WEP
00147FB754C5,55.845714,-4.530604,WEP
001D68042517,55.845494,-4.530526,WEP
001F9F8B9A73,55.845494,-4.530526,WPA2
00234D2BED17,55.845494,-4.530526,WEP
001D6881B5A1,55.845494,-4.530526,WEP
0011959F2E20,55.845494,-4.530526,None
001A709DB08C,55.845258,-4.530419,WEP
00223F446CF8,55.844508,-4.530152,WPA
001F9FD4C1FF,55.844508,-4.530152,WEP
00184DC70E6E,55.844469,-4.530393,WEP
002569133E4C,55.845731,-4.533343,WPA
001D687A023B,55.845731,-4.533343,WEP
001FB3247B99,55.845731,-4.533343,WEP
00242C2FD747,55.8458,-4.533696,WPA2
001F33DA666E,55.8458,-4.533696,WPA2
00234DA14FFE,55.846004,-4.534402,WPA2
00147F94AC02,55.846004,-4.534402,WEP
001D6809F779,55.847727,-4.534424,WEP
001F9FEA7C5B,55.847799,-4.534642,WPA2
0011F5B3FAE1,55.847799,-4.534642,WEP
001B2F6D39B2,55.847872,-4.534923,None
1EE7F615BB8E,55.847872,-4.534923,WPA
00147F9CB1AE,55.846859,-4.533022,WEP
0016E31268B4,55.844239,-4.528229,WEP
00184D63FF0E,55.844239,-4.528229,WPA
00147F5F7B09,55.844239,-4.528229,WEP
001B2F9C0A68,55.843387,-4.520581,WPA
0290D0E307F9,55.841905,-4.520197,None
0090D0E307F8,55.841905,-4.520197,WEP
001EA9D364DD,55.840267,-4.519382,None
0020A666A768,55.856147,-4.453357,WPA
0020A666A660,55.856147,-4.453357,WPA
00A0F8A52069,55.861698,-4.435096,WPA
00223FADC52C,55.863878,-4.386468,WPA
001F334A8A5A,55.865579,-4.378128,WEP
001F33458ACC,55.866091,-4.375543,WPA
001F9F4273DF,55.866381,-4.374142,WEP
00173F5B6315,55.86667,-4.37271,WEP
021B1178D2C8,55.857827,-4.346905,WPA2
0021636EB114,55.858229,-4.33927,WPA
001F337C61E8,55.858738,-4.338855,WPA
001D6803C3B7,55.858738,-4.338855,WEP
001F337DD6AA,55.859259,-4.338445,WPA
00234E9DCEA5,55.859259,-4.338445,WPA2
BEF34510A0FB,55.859783,-4.338067,None
00223F41ED02,55.860329,-4.337663,WPA2
72223F41ED03,55.860329,-4.337663,None
0024B22E24FC,55.861152,-4.337053,WPA
00131A0839A2,55.861694,-4.336644,WEP
00175A5CCF61,55.862219,-4.336252,WEP
00131A083AB2,55.862219,-4.336252,WEP
000E84AFA601,55.862574,-4.335882,WEP
00147F99A646,55.862872,-4.335266,WEP
001D687DFDF3,55.863119,-4.333132,WEP
021D687DFDF4,55.863119,-4.333132,None
0022752ADA95,55.863206,-4.332518,None
001B2F9078CA,55.863423,-4.332049,WEP
00216377BB9F,55.863423,-4.332049,WPA
0024D2B3AD1A,55.863423,-4.332049,WPA
001360EF6172,55.863865,-4.331517,WEP
00131A083AB1,55.863865,-4.331517,WEP
00234E5CA73F,55.864283,-4.331231,WPA2
0022B0668CE6,55.864283,-4.331231,WPA
00242B5F2B03,55.864445,-4.331205,WPA2
02242B5F2B05,55.864445,-4.331205,None
02242B5F2B04,55.864445,-4.331205,None
361F29F7BCA3,55.871232,-4.323713,None
00234D5C9136,55.870605,-4.321715,WPA2
00085CACAE0E,55.870277,-4.320635,WEP
001D6853C2F1,55.869962,-4.319468,WEP
02242C660E0D,55.8694,-4.317127,None
00242C660E0C,55.8694,-4.317127,WPA2
00184D12A3EC,55.869112,-4.315952,WPA
00197D015F5A,55.869112,-4.315952,WPA
0018F679C0EB,55.868836,-4.314766,WEP
00223F382880,55.864801,-4.300654,WPA
001AC4109623,55.863165,-4.296828,WPA
00173F0D6C64,55.862997,-4.295761,WPA
001AC4E245C1,55.862943,-4.294919,None
001E74C506A0,55.862036,-4.288002,WPA
001F335002F4,55.861784,-4.286958,WPA
0016E3DE385A,55.861784,-4.286958,WEP
001DB34B9EBD,55.860358,-4.28077,WPA2
021F3C000144,55.860358,-4.28077,None
001EF7F2D890,55.860227,-4.279752,None
001EF7F2D7A0,55.860227,-4.279752,None
00223F20E3C0,55.860227,-4.279752,WPA2
002104CB12B2,55.85977,-4.271526,WPA2
00115039AC30,55.859649,-4.271093,None
001AE3BA81F0,55.859399,-4.268135,None
00223FB936D6,55.859222,-4.266126,WEP
000D7281F901,55.859222,-4.266126,WEP
004096A1FB1D,55.859195,-4.26568,WEP
0011509DA220,55.859169,-4.265337,WPA
00184D41B24E,55.8591,-4.264545,WPA
001F9F4B3A67,55.8591,-4.264545,WEP
001E74B8DA19,55.8591,-4.264545,WPA
0216EA00029A,55.8591,-4.264545,WEP
001D6800996B,55.8591,-4.264545,WEP
0060B3D831ED,55.8591,-4.264545,WPA
0011507FFBA6,55.859053,-4.264096,WEP
00223F40F8E0,55.859053,-4.264096,WPA
02242C79206D,55.859053,-4.264096,None
001F9F75C1DF,55.859053,-4.264096,WPA2
00234D97276B,55.859053,-4.264096,WPA2
02242C79206C,55.859053,-4.264096,None
002348E766A2,55.859053,-4.264096,WPA
001D68EB9CB5,55.859053,-4.264096,WEP
001E74A47EEC,55.859053,-4.264096,WPA
0021E9F77C31,55.859053,-4.264096,WPA2
001AE3BB1CB0,55.85892,-4.262955,None
0021041879C9,55.85892,-4.262955,WPA2
001F9FED112F,55.85892,-4.262955,WEP
0021049CB09A,55.85892,-4.262955,WPA2
0001E3F703FD,55.858941,-4.262867,WPA2
0019E8D91C60,55.858941,-4.262867,WEP
0621049CB09A,55.858941,-4.262867,None
001F9F4B4B8D,55.858941,-4.262867,WPA2
00184DB4A05C,55.858941,-4.262867,WEP
001D6801CAEB,55.858941,-4.262867,WEP
0A2104C26762,55.858941,-4.262867,None
002104186495,55.858941,-4.262867,WPA2
00223F44621C,55.858941,-4.262867,WPA
00197D6CC4E8,55.858941,-4.262867,WPA
8E763897C7B9,55.858941,-4.262867,None
00241720C65B,55.858941,-4.262867,WPA2
062104C26762,55.858941,-4.262867,None
02242C70C685,55.858941,-4.262867,None
00242C70C684,55.858941,-4.262867,WPA2
0A210487CD1A,55.858941,-4.262867,None
001E2AF887C0,55.858941,-4.262867,WPA
02242C70C686,55.858941,-4.262867,None
001B2F41F144,55.858941,-4.262867,WPA
0024B22E7898,55.858941,-4.262867,WPA
06210487CD1A,55.858941,-4.262867,None
001B9E988DAC,55.858941,-4.262867,WPA
001F9F73A8D7,55.858941,-4.262867,WEP
0011F5EABE52,55.858941,-4.262867,WEP
0019E8D8C620,55.858941,-4.262867,WEP
001D68A93D11,55.858941,-4.262867,WEP
001F9F421465,55.858941,-4.262867,WEP
00184DF5599C,55.858941,-4.262867,WEP
001FE1CA4F08,55.858941,-4.262867,WPA2
0002CF6D729E,55.858941,-4.262867,WPA
00184DB00F32,55.858941,-4.262867,WPA
00223F499A02,55.858941,-4.262867,WPA
001C26975B3B,55.858941,-4.262867,WPA
00179A625FF1,55.858913,-4.26248,None
0A21049CB09A,55.858913,-4.26248,None
00173F8C2ACC,55.858913,-4.26248,WPA
0024B22E77F6,55.858781,-4.262099,WPA
00223F445594,55.858781,-4.262099,WPA
0014BF704989,55.85866,-4.261779,WPA
00184D0CD7CE,55.85866,-4.261779,WPA2
004096A0F148,55.858562,-4.261432,None
004096A0FFE5,55.858562,-4.261432,None
0011505911C3,55.858562,-4.261432,WEP
00115020F043,55.858562,-4.261432,None
00501832802E,55.858562,-4.261432,WPA
001EC7CFB8B3,55.858502,-4.261158,WPA
001C1098A99D,55.858502,-4.261158,WEP
00253C3AF7FB,55.858549,-4.259906,WPA
00253C3AF7FC,55.858549,-4.259906,None
001E1094AB70,55.858617,-4.259549,WEP
00145171C325,55.858684,-4.259339,WPA2
00242B677351,55.85873,-4.259213,WPA2
001B5447FE70,55.85873,-4.259213,WEP
22752352E76E,55.858302,-4.258781,None
001F9F127737,55.857831,-4.259693,WEP
0022699E179D,55.857831,-4.259693,WPA2
00184D3359C3,55.857831,-4.259693,WPA
00197D70A37A,55.857831,-4.259693,WPA
00197D0D3201,55.857831,-4.259693,WPA
00234EAD856F,55.857831,-4.259693,WPA2
00184D335899,55.857831,-4.259693,WPA
0018F6ACD8EF,55.857831,-4.259693,WEP
001B2F7C77E0,55.857831,-4.259693,WPA
0010C62B6C4B,55.857831,-4.259693,WEP
